"mmsi","year","month","total_fishing_hours","n_points"
36764000,2012,4,1.2025,1
36764000,2012,5,8.31819444444444,3
36764000,2012,6,0.919444444444445,1
36764000,2012,7,29.9893055555556,13
36764000,2013,4,0.836111111111111,1
36764000,2013,9,28.4498611111111,11
36764000,2014,3,26.8726388888889,17
36764000,2014,4,3.49263888888889,2
36764000,2014,5,0.8025,1
36764000,2014,6,16.8181944444444,8
36764000,2014,7,5.23277777777778,3
36764000,2014,8,71.7744444444444,41
36764000,2014,9,110.069722222222,50
36764000,2014,10,90.1505555555556,33
224523000,2014,1,2.64597222222222,2
224523000,2014,2,8.76958333333333,5
224523000,2014,3,3.66111111111111,1
224523000,2014,11,2.59055555555556,2
224523000,2014,12,0.708333333333333,1
224651000,2013,1,3.865,1
224651000,2013,2,3.37583333333333,2
224651000,2013,3,3.68611111111111,2
224651000,2013,4,2.57111111111111,2
224651000,2013,5,1.85527777777778,1
224651000,2013,6,12.1601388888889,6
224651000,2013,12,4.83708333333333,2
224651000,2014,4,2.62444444444444,3
224651000,2014,11,11.9558333333333,6
224651000,2014,12,20.5245833333333,8
224680000,2012,1,8.15083333333333,4
224680000,2012,3,44.3830555555556,11
303137000,2012,7,18.6558333333333,9
303137000,2013,11,6.64861111111111,4
303137000,2014,4,4.83708333333333,2
303137000,2014,5,10.6236111111111,6
303137000,2014,8,109.500972222222,39
303137000,2014,9,181.360416666667,61
303137000,2014,11,34.5747222222222,13
338013000,2014,5,43.8695833333333,24
338539000,2016,11,5.38305555555556,1
338622000,2013,11,13.4344444444444,7
338622000,2014,3,8.68513888888889,6
338622000,2014,4,3.83958333333333,2
338622000,2014,5,2.66361111111111,1
338622000,2014,6,16.8111111111111,7
338622000,2014,7,10.8176388888889,6
338622000,2014,8,112.693055555556,42
338622000,2014,9,136.973611111111,63
338622000,2014,10,32.7548611111111,16
338622000,2015,11,10.2327777777778,5
338712000,2013,10,1.68194444444444,1
338712000,2014,3,5.37055555555555,3
338712000,2014,4,13.8408333333333,6
338712000,2014,5,1.58041666666667,3
338712000,2014,6,9.61111111111111,7
338712000,2014,7,2.26944444444444,2
338712000,2014,8,109.541805555556,42
338712000,2014,9,38.52125,20
338712000,2014,10,52.6683333333333,21
350107000,2012,7,20.8354166666667,8
350107000,2013,1,1.10319444444444,1
350107000,2013,8,19.9076388888889,7
350107000,2013,9,6.35597222222222,1
350107000,2013,10,6.62486111111111,3
350107000,2013,11,5.76791666666667,2
350107000,2014,3,6.45847222222222,1
350107000,2014,6,12.8598611111111,5
350107000,2014,7,59.6294444444444,18
350107000,2014,8,94.1734722222222,43
350107000,2014,9,182.630694444444,88
365878412,2013,7,10.1883333333333,8
365878412,2013,8,3.32763888888889,3
365878412,2013,9,11.3640277777778,7
365878412,2013,10,2.7375,2
365878412,2014,1,37.0581944444444,15
365878412,2014,2,4.12027777777778,3
365878412,2014,3,33.1515277777778,15
365878412,2014,5,4.67138888888889,3
365878412,2014,6,1.04347222222222,1
365878412,2014,7,17.3255555555556,9
365878412,2014,8,4.69055555555556,4
365878412,2014,9,174.816388888889,101
365878412,2014,10,23.41375,8
366827000,2013,8,8.30847222222222,3
366827000,2014,3,16.0130555555556,7
366827000,2014,5,7.10888888888889,6
366827000,2014,6,8.81180555555556,4
366827000,2014,7,5.37722222222222,3
366827000,2014,9,1.06541666666667,2
366827000,2014,10,82.8534722222222,40
366878000,2016,9,3.00152777777778,4
366927000,2012,4,4.06638888888889,3
366927000,2013,5,13.5113888888889,8
367359220,2012,8,21.1005555555556,7
367359220,2012,9,24.5006944444444,5
367359220,2012,10,3.52527777777778,1
367359220,2013,7,6.57486111111111,2
367359220,2014,4,3.35861111111111,2
367359220,2014,5,54.6583333333333,24
367359220,2014,6,10.4102777777778,5
367359220,2014,7,2.05416666666667,1
367359220,2014,8,120.489027777778,46
367359220,2014,9,88.4641666666667,34
367359220,2014,10,13.8952777777778,10
367463000,2015,3,0.785833333333333,1
367666000,2016,11,6.28208333333334,2
368489000,2013,12,30.3477777777778,11
368489000,2014,3,24.0944444444444,9
368489000,2014,4,0.924444444444445,1
368489000,2014,5,4.03111111111111,1
368489000,2014,6,98.6047222222222,54
368489000,2014,7,205.144583333333,66
368489000,2014,8,36.5615277777778,14
368489000,2014,9,164.904444444444,65
368489000,2014,10,5.1425,4
412328728,2016,9,5.03375,1
412331033,2014,11,37.9451388888889,23
412370007,2013,6,45.0855555555556,22
412370007,2014,4,81.6418055555555,42
412371179,2014,2,1.87986111111111,1
412371194,2015,9,34.22,10
412371194,2015,12,2.29458333333333,1
412420582,2014,6,367.310694444444,108
412420582,2014,7,288.016944444444,97
412420582,2014,8,85.6697222222222,30
412420584,2014,5,101.366805555556,21
412420584,2014,6,285.384305555556,59
412420584,2014,7,246.5725,57
412420584,2014,8,86.1447222222222,26
412420585,2014,4,49.3741666666667,18
412420585,2014,5,111.074861111111,52
412420585,2014,6,412.453888888889,141
412420585,2014,7,353.60375,127
412420585,2014,8,71.0672222222222,28
412420892,2014,11,60.5468055555556,26
412420892,2014,12,14.0302777777778,4
412420919,2015,11,17.4868055555556,5
412695620,2014,6,103.125555555556,7
412695640,2013,8,10.9693055555556,2
412985000,2014,5,171.516805555556,32
412985000,2014,6,43.4656944444444,14
413032000,2015,9,3.76611111111111,1
413032000,2015,10,6.65833333333333,1
413032000,2015,11,7.11027777777778,1
413224000,2015,11,26.4408333333333,5
413224000,2016,2,2.35138888888889,2
413278000,2015,11,25.6898611111111,5
416000179,2014,5,225.953333333333,86
416000179,2014,6,52.3509722222222,19
416000179,2014,7,105.834583333333,38
416000179,2014,9,61.2004166666667,27
416002596,2014,3,472.519722222222,168
416002596,2014,4,138.410833333333,52
416003709,2014,5,212.877638888889,82
416003709,2014,6,31.6863888888889,15
416003756,2014,6,192.269444444444,71
416003803,2014,5,64.5495833333333,27
416003803,2014,6,182.893333333333,63
416003803,2014,7,37.7213888888889,12
416003854,2014,6,28.1618055555556,15
416004242,2012,8,3.61777777777778,2
416004242,2012,10,349.616944444444,161
