"mmsi","year","month","hours","kir","post","date"
440810000,2012,8,588.390833333333,FALSE,FALSE,2012-08-01
440715000,2012,8,41.2602777777778,FALSE,FALSE,2012-08-01
412695640,2012,8,467.377222222222,FALSE,FALSE,2012-08-01
441837000,2012,8,46.0451388888889,FALSE,FALSE,2012-08-01
440624000,2012,8,698.484861111111,FALSE,FALSE,2012-08-01
441645000,2012,8,654.025555555556,FALSE,FALSE,2012-08-01
440846000,2012,8,628.891805555555,FALSE,FALSE,2012-08-01
441062000,2012,8,736.426388888889,FALSE,FALSE,2012-08-01
440936000,2012,8,665.92375,FALSE,FALSE,2012-08-01
440733000,2012,8,669.423333333333,FALSE,FALSE,2012-08-01
440807000,2012,8,634.881527777778,FALSE,FALSE,2012-08-01
529440000,2012,8,25.4108333333333,TRUE,FALSE,2012-08-01
441650000,2012,8,712.624861111111,FALSE,FALSE,2012-08-01
440975000,2012,8,13.7601388888889,FALSE,FALSE,2012-08-01
441018000,2012,8,646.218333333333,FALSE,FALSE,2012-08-01
548831000,2012,8,29.8883333333333,FALSE,FALSE,2012-08-01
350107000,2012,8,13.2080555555556,FALSE,FALSE,2012-08-01
440055000,2012,8,169.056805555556,FALSE,FALSE,2012-08-01
367359220,2012,8,71.5005555555556,FALSE,FALSE,2012-08-01
440233000,2012,8,22.0002777777778,FALSE,FALSE,2012-08-01
366827000,2012,8,32.5173611111111,FALSE,FALSE,2012-08-01
440410000,2012,8,22.7043055555556,FALSE,FALSE,2012-08-01
441811000,2012,7,615.417638888889,FALSE,FALSE,2012-07-01
440584000,2012,7,106.719027777778,FALSE,FALSE,2012-07-01
440623000,2012,7,633.221388888889,FALSE,FALSE,2012-07-01
440590000,2012,7,513.9025,FALSE,FALSE,2012-07-01
441536000,2012,7,198.606111111111,FALSE,FALSE,2012-07-01
441374000,2012,7,587.801944444444,FALSE,FALSE,2012-07-01
440522000,2012,7,705.839027777778,FALSE,FALSE,2012-07-01
440703000,2012,7,673.374444444445,FALSE,FALSE,2012-07-01
