year,month,lat_bin,lon_bin,total_fishing_hours
2016.0,9.0,16.3,-111.1,10.040416666666665
2016.0,9.0,16.5,-110.4,2.319583333333333
2016.0,9.0,16.5,-110.3,4.519444444444445
2016.0,9.0,16.5,-110.1,1.5531944444444443
2016.0,9.0,16.8,-109.8,5.90361111111111
2016.0,9.0,17.7,-109.9,0.5066666666666666
2016.0,9.0,18.4,-109.8,0.26402777777777775
2016.0,9.0,18.5,-109.9,3.138055555555556
2016.0,10.0,19.2,-108.6,3.4247222222222224
2016.0,10.0,20.1,-110.4,7.646944444444444
2016.0,9.0,16.0,-109.7,1.7727777777777778
2016.0,9.0,18.1,-110.7,2.6320833333333327
2016.0,9.0,16.7,-110.7,1.6244444444444444
2016.0,9.0,16.1,-110.3,4.983888888888889
2016.0,10.0,16.4,-116.9,0.8373611111111111
2016.0,10.0,17.9,-109.9,2.5865277777777775
2016.0,10.0,16.4,-109.8,1.8030555555555554
2016.0,10.0,20.5,-109.8,0.3983333333333334
2016.0,10.0,18.2,-109.9,2.3679166666666664
2016.0,10.0,18.7,-108.7,4.273888888888889
2016.0,9.0,20.6,-110.4,3.1676388888888902
2016.0,9.0,21.0,-110.0,0.5069444444444445
2016.0,10.0,16.6,-116.3,6.654305555555556
2016.0,10.0,19.1,-110.3,0.3070833333333333
2016.0,5.0,16.5,-112.6,1.2273611111111111
2016.0,9.0,19.8,-108.8,3.295416666666666
2016.0,9.0,19.9,-108.9,4.806666666666667
2016.0,9.0,20.3,-109.1,1.1268055555555556
2016.0,9.0,16.2,-112.5,11.077222222222222
2016.0,5.0,18.1,-109.5,10.953333333333333
2016.0,5.0,18.2,-109.5,4.080694444444444
2016.0,10.0,19.1,-110.4,2.1075
2016.0,5.0,16.2,-112.2,2.1254166666666663
2016.0,5.0,20.2,-110.9,6.772083333333333
2016.0,9.0,20.3,-108.7,2.2612499999999995
2016.0,5.0,19.6,-110.9,0.44375
2016.0,10.0,17.6,-110.1,1.873333333333333
2016.0,10.0,16.4,-110.0,0.69
2016.0,10.0,16.8,-113.3,0.3859722222222222
2016.0,10.0,16.9,-113.0,0.3545833333333333
2016.0,10.0,17.0,-109.4,3.1630555555555557
2016.0,10.0,21.6,-110.0,0.8294444444444443
2016.0,9.0,19.7,-110.8,2.318749999999999
2016.0,9.0,19.9,-109.1,12.252638888888889
2016.0,5.0,18.1,-110.2,4.305555555555556
2016.0,5.0,18.2,-110.2,5.830694444444444
2016.0,10.0,16.0,-113.3,1.7233333333333332
2016.0,10.0,16.9,-109.4,4.907222222222223
2015.0,5.0,16.8,-109.6,3.330138888888889
2015.0,5.0,17.0,-110.3,1.494722222222222
2016.0,5.0,17.5,-108.5,4.672222222222222
2016.0,5.0,18.0,-111.9,3.3529166666666663
2016.0,5.0,18.4,-111.9,2.335138888888889
2016.0,10.0,21.4,-110.0,2.9741666666666666
2016.0,5.0,18.3,-110.8,9.601111111111111
2016.0,5.0,20.4,-111.1,1.3188888888888888
2016.0,5.0,21.0,-111.1,1.6581944444444443
2016.0,8.0,18.1,-111.1,1.1041666666666667
2016.0,10.0,16.6,-109.5,1.8072222222222223
2016.0,10.0,18.4,-110.6,2.2184722222222226
